date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:32:54	68288/68288	---M-Z	200	added ('OK')	text/html	etag:%2210ac0-623282c2c732e-gzip%22	https://techzaa.in/techmin/layouts/pages-pricing.html	C:/Users/60111/Documents/TRY/AD/techzaa.in/techmin/layouts/pages-pricing.html	(from https://techzaa.in/techmin/layouts/index.html)
12:32:55	2240/2240	---M-Z	200	added ('OK')	text/html	etag:%228c0-623282c2c732e-gzip%22	https://techzaa.in/techmin/layouts/pages-maintenance.html	C:/Users/60111/Documents/TRY/AD/techzaa.in/techmin/layouts/pages-maintenance.html	(from https://techzaa.in/techmin/layouts/index.html)
12:32:55	4173/4173	---M-Z	200	added ('OK')	text/html	etag:%22104d-623282c2c53ee-gzip%22	https://techzaa.in/techmin/layouts/error-404.html	C:/Users/60111/Documents/TRY/AD/techzaa.in/techmin/layouts/error-404.html	(from https://techzaa.in/techmin/layouts/index.html)
12:32:55	61841/61841	---M-Z	200	added ('OK')	text/html	etag:%22f191-623282c2c53ee-gzip%22	https://techzaa.in/techmin/layouts/error-404-alt.html	C:/Users/60111/Documents/TRY/AD/techzaa.in/techmin/layouts/error-404-alt.html	(from https://techzaa.in/techmin/layouts/index.html)
12:32:55	4208/4208	---M-Z	200	added ('OK')	text/html	etag:%221070-623282c2c53ee-gzip%22	https://techzaa.in/techmin/layouts/error-500.html	C:/Users/60111/Documents/TRY/AD/techzaa.in/techmin/layouts/error-500.html	(from https://techzaa.in/techmin/layouts/index.html)
12:32:56	7233/7233	---M-Z	200	added ('OK')	text/html	etag:%221c41-623282c2c444e-gzip%22	https://techzaa.in/techmin/layouts/auth-login.html	C:/Users/60111/Documents/TRY/AD/techzaa.in/techmin/layouts/auth-login.html	(from https://techzaa.in/techmin/layouts/index.html)
12:32:56	6857/6857	---M-Z	200	added ('OK')	text/html	etag:%221ac9-623282c2c444e-gzip%22	https://techzaa.in/techmin/layouts/auth-register.html	C:/Users/60111/Documents/TRY/AD/techzaa.in/techmin/layouts/auth-register.html	(from https://techzaa.in/techmin/layouts/index.html)
12:32:56	4600/4600	---M-Z	200	added ('OK')	text/html	etag:%2211f8-623282c2c444e-gzip%22	https://techzaa.in/techmin/layouts/auth-forgotpw.html	C:/Users/60111/Documents/TRY/AD/techzaa.in/techmin/layouts/auth-forgotpw.html	(from https://techzaa.in/techmin/layouts/index.html)
12:32:57	88465/88465	---M-Z	200	added ('OK')	text/html	etag:%2215991-623282c2c732e-gzip%22	https://techzaa.in/techmin/layouts/layouts-light-sidebar.html	C:/Users/60111/Documents/TRY/AD/techzaa.in/techmin/layouts/layouts-light-sidebar.html	(from https://techzaa.in/techmin/layouts/index.html)
12:32:57	88459/88459	---M-Z	200	added ('OK')	text/html	etag:%221598b-623282c2c732e-gzip%22	https://techzaa.in/techmin/layouts/layouts-sm-sidebar.html	C:/Users/60111/Documents/TRY/AD/techzaa.in/techmin/layouts/layouts-sm-sidebar.html	(from https://techzaa.in/techmin/layouts/index.html)
12:32:57	88463/88463	---M-Z	200	added ('OK')	text/html	etag:%221598f-623282c2c732e-gzip%22	https://techzaa.in/techmin/layouts/layouts-collapsed-sidebar.html	C:/Users/60111/Documents/TRY/AD/techzaa.in/techmin/layouts/layouts-collapsed-sidebar.html	(from https://techzaa.in/techmin/layouts/index.html)
12:32:57	88467/88467	---M-Z	200	added ('OK')	text/html	etag:%2215993-623282c2c732e-gzip%22	https://techzaa.in/techmin/layouts/layouts-unsticky-layout.html	C:/Users/60111/Documents/TRY/AD/techzaa.in/techmin/layouts/layouts-unsticky-layout.html	(from https://techzaa.in/techmin/layouts/index.html)
12:32:58	88482/88482	---M-Z	200	added ('OK')	text/html	etag:%22159a2-623282c2c732e-gzip%22	https://techzaa.in/techmin/layouts/layouts-boxed.html	C:/Users/60111/Documents/TRY/AD/techzaa.in/techmin/layouts/layouts-boxed.html	(from https://techzaa.in/techmin/layouts/index.html)
12:32:58	75807/75807	---M-Z	200	added ('OK')	text/html	etag:%221281f-623282c2c82ce-gzip%22	https://techzaa.in/techmin/layouts/ui-accordions.html	C:/Users/60111/Documents/TRY/AD/techzaa.in/techmin/layouts/ui-accordions.html	(from https://techzaa.in/techmin/layouts/index.html)
12:32:58	79424/79424	---M-Z	200	added ('OK')	text/html	etag:%2213640-623282c2c82ce-gzip%22	https://techzaa.in/techmin/layouts/ui-alerts.html	C:/Users/60111/Documents/TRY/AD/techzaa.in/techmin/layouts/ui-alerts.html	(from https://techzaa.in/techmin/layouts/index.html)
12:32:58	80014/80014	---M-Z	200	added ('OK')	text/html	etag:%221388e-623282c2c82ce-gzip%22	https://techzaa.in/techmin/layouts/ui-avatars.html	C:/Users/60111/Documents/TRY/AD/techzaa.in/techmin/layouts/ui-avatars.html	(from https://techzaa.in/techmin/layouts/index.html)
12:32:59	75197/75197	---M-Z	200	added ('OK')	text/html	etag:%22125bd-623282c2c82ce-gzip%22	https://techzaa.in/techmin/layouts/ui-buttons.html	C:/Users/60111/Documents/TRY/AD/techzaa.in/techmin/layouts/ui-buttons.html	(from https://techzaa.in/techmin/layouts/index.html)
12:32:59	68067/68067	---M-Z	200	added ('OK')	text/html	etag:%22109e3-623282c2c82ce-gzip%22	https://techzaa.in/techmin/layouts/ui-button-group.html	C:/Users/60111/Documents/TRY/AD/techzaa.in/techmin/layouts/ui-button-group.html	(from https://techzaa.in/techmin/layouts/index.html)
12:32:59	65773/65773	---M-Z	200	added ('OK')	text/html	etag:%22100ed-623282c2c82ce-gzip%22	https://techzaa.in/techmin/layouts/ui-badges.html	C:/Users/60111/Documents/TRY/AD/techzaa.in/techmin/layouts/ui-badges.html	(from https://techzaa.in/techmin/layouts/index.html)
12:33:00	62926/62926	---M-Z	200	added ('OK')	text/html	etag:%22f5ce-623282c2c82ce-gzip%22	https://techzaa.in/techmin/layouts/ui-breadcrumb.html	C:/Users/60111/Documents/TRY/AD/techzaa.in/techmin/layouts/ui-breadcrumb.html	(from https://techzaa.in/techmin/layouts/index.html)
12:33:00	85033/85033	---M-Z	200	added ('OK')	text/html	etag:%2214c29-623282c2c82ce-gzip%22	https://techzaa.in/techmin/layouts/ui-cards.html	C:/Users/60111/Documents/TRY/AD/techzaa.in/techmin/layouts/ui-cards.html	(from https://techzaa.in/techmin/layouts/index.html)
12:33:00	81122/81122	---M-Z	200	added ('OK')	text/html	etag:%2213ce2-623282c2c82ce-gzip%22	https://techzaa.in/techmin/layouts/ui-carousel.html	C:/Users/60111/Documents/TRY/AD/techzaa.in/techmin/layouts/ui-carousel.html	(from https://techzaa.in/techmin/layouts/index.html)
12:33:01	66647/66647	---M-Z	200	added ('OK')	text/html	etag:%2210457-623282c2c82ce-gzip%22	https://techzaa.in/techmin/layouts/ui-collapse.html	C:/Users/60111/Documents/TRY/AD/techzaa.in/techmin/layouts/ui-collapse.html	(from https://techzaa.in/techmin/layouts/index.html)
